student_id,major
63285f7e-4059-416c-a0b3-161912030fb3,Baking and pastry arts/Baker/Pastry chef
6d9db0eb-877f-4c92-8acc-f6744b8987f4,"Finance, general"
2b7b4267-0ca7-4181-9998-dcc2f2a2a51b,"Liberal arts and sciences, general studies and humanities, other"
c1493cd0-fbe5-4887-9d86-f3123efa1f70,"Political science and government, other"
c1493cd0-fbe5-4887-9d86-f3123efa1f70,International relations and affairs
b8436e9f-164c-4091-9586-66d334f0f38e,"Business administration, management and operations, other"
47ac3575-dce2-4bfa-af0c-4457b712468f,"Finance, general"
8edf3bdd-5eeb-4f31-8afa-41f3016ad888,Zoology/Animal biology
18510456-2c40-47f2-86fb-765260ba202f,Sociology and anthropology
18510456-2c40-47f2-86fb-765260ba202f,Clinical psychology
1e6febe2-b556-4fd1-bf75-1608001c98c4,"Finance, general"
24c49a85-e7ec-4e0b-8ff2-9cf39fea1d7e,"Business, management, marketing, and related support services, other"
cf3ca9ef-cb4f-4fef-8118-99d305e3b472,"Biology/Biological sciences, general"
eb9080a6-9974-41a6-9b26-02f8bba13533,Applied psychology
69cb6eff-6ec8-4651-a438-6598dd9b5902,"Animation, interactive technology, video graphics, and special effects"
b3910917-b53b-43e5-84b0-104c4b04eb05,"Marketing, other"
9f43bf79-ab4b-459d-b24a-3255abcc6fd5,"Communication, journalism, and related programs, other"
e5c1d831-9419-444e-b257-24a683624e50,"Education, general"
9df01576-e7ec-4ce0-ad37-cc1a676ba807,"Public relations, advertising, and applied communication"
bf12613b-ec9d-46db-a6c4-95051feb4e16,Broadcast journalism
988a7d1c-7ab7-481f-9810-26fe19c54a7c,Broadcast journalism
96a87b59-019a-4a97-a84f-538fea65c69c,Sport and fitness administration/Management
44e31989-56d4-4e37-9d9c-cdd17852e503,"Marketing/Marketing management, general"
1c59255f-bb1d-432f-a7e9-6f96058165ec,"Finance, general"
9e8ae77e-6478-49c0-8f58-64b9eb34e8d0,"Business administration, management and operations, other"
a219c2bb-7ac2-41a0-864b-9c9c64027ca5,
f76b3121-2a0e-40d9-8070-51bb36f6536c,"Finance, general"
6bfcd22b-da81-4427-9147-19776128e21d,"Public relations, advertising, and applied communication"
80d909b8-4f02-44a0-ab7b-99bde098d3d5,"Biology/Biological sciences, general"
ea87c4d0-c699-4aa1-a71c-4e6e05aeb3b3,Applied economics
a5ddc98a-0a9e-4cab-a418-9a09cb27dbae,Neuroscience
379917e7-24cc-4b32-b019-a98e30be2d31,"Economics, general"
16b4ea15-41e2-4da6-ab71-810a3a76e050,"Political science and government, general"
ca143816-dd57-4255-9908-bc45669121f1,Electrical and computer engineering
2bcc5124-4935-4b07-8759-c2011b5e113c,Clinical psychology
9035aa94-a621-43b0-80e7-b8b7d38fb6e6,Accounting and finance
9497202c-397f-440b-872e-d023eb7ec3f2,"Design and visual communications, general"
279f65f2-73ad-4386-b926-3aecaed74c32,Mechanical engineering
1a23f122-e839-480d-bed8-0a07625770b4,
363d8f87-41a9-402f-b3bf-0f6c99b1bb71,Computer science
c6c214d9-e16a-438d-bc7e-69302f76c971,
27ef3996-238e-41b4-9d33-77502a8abdce,"Criminal justice and corrections, general"
d16e7aec-6cdd-4d6f-84a8-54a68f3a4d81,"English language and literature/Letters, other"
28cc65d6-3d61-46ad-96c1-a0eab0e67b75,"Finance, general"
9497202c-397f-440b-872e-d023eb7ec3f2,"Business, management, marketing, and related support services, other"
